Subject,Body,Label
Invoice for May services,This is a reminder to submit your timesheet by EOD.,legit
Project update and next steps,You are invited to attend the cybersecurity awareness workshop.,legit
Reminder: Submit your timesheet,Here are the updates to the HR policy for your review.,legit
Invoice for May services,Please find attached the project updates and timeline.,legit
Invoice for May services,Welcome our new team members and join the onboarding session.,legit
HR Policy Updates,Welcome our new team members and join the onboarding session.,legit
Quarterly performance review,Your quarterly review is scheduled for next week.,legit
Action required: Verify your identity,Provide your personal information to restore access.,phishing
Quarterly performance review,Join us for a fun team outing this Friday evening.,legit
Team outing this Friday,Welcome our new team members and join the onboarding session.,legit
Reminder: Submit your timesheet,Attached is the invoice for services rendered in May.,legit
Reminder: Submit your timesheet,Please find attached the project updates and timeline.,legit
Reminder: Submit your timesheet,Here are the updates to the HR policy for your review.,legit
Project update and next steps,Your quarterly review is scheduled for next week.,legit
HR Policy Updates,You are invited to attend the cybersecurity awareness workshop.,legit
Urgent: Update your password,You have an unclaimed reward. Act now!,phishing
Your account has been suspended,Verify your account details to continue using our services.,phishing
You've won a prize!,Verify your account details to continue using our services.,phishing
You've won a prize!,Reset your credentials to avoid security issues.,phishing
Unusual activity found,Reactivate your account by logging in through this link.,phishing
New employee onboarding,Check out our latest updates in the June newsletter.,legit
Your account has been suspended,We noticed a suspicious login attempt. Confirm your identity.,phishing
Claim your reward today!,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Workshop on Cybersecurity,Attached is the invoice for services rendered in May.,legit
Suspicious login attempt detected,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Action required: Verify your identity,Verify your account details to continue using our services.,phishing
Team outing this Friday,Check out our latest updates in the June newsletter.,legit
Weekly newsletter - June Edition,Welcome our new team members and join the onboarding session.,legit
Final notice: Your invoice is due,Provide your personal information to restore access.,phishing
Confirm your account information,Click the link below to verify your account immediately.,phishing
Suspicious login attempt detected,Provide your personal information to restore access.,phishing
Weekly newsletter - June Edition,Let me know if 3 PM works for the meeting.,legit
New employee onboarding,Check out our latest updates in the June newsletter.,legit
Your account has been suspended,Reactivate your account by logging in through this link.,phishing
Reminder: Submit your timesheet,This is a reminder to submit your timesheet by EOD.,legit
You've won a prize!,You have an unclaimed reward. Act now!,phishing
Invoice for May services,Join us for a fun team outing this Friday evening.,legit
Project update and next steps,Join us for a fun team outing this Friday evening.,legit
You've won a prize!,Verify your account details to continue using our services.,phishing
Quarterly performance review,Attached is the invoice for services rendered in May.,legit
Team outing this Friday,Please find attached the project updates and timeline.,legit
Workshop on Cybersecurity,Your quarterly review is scheduled for next week.,legit
Weekly newsletter - June Edition,Join us for a fun team outing this Friday evening.,legit
Claim your reward today!,Reset your credentials to avoid security issues.,phishing
Reminder: Submit your timesheet,You are invited to attend the cybersecurity awareness workshop.,legit
Claim your reward today!,Reset your credentials to avoid security issues.,phishing
Team outing this Friday,Your quarterly review is scheduled for next week.,legit
Unusual activity found,Provide your personal information to restore access.,phishing
Your account has been suspended,Failure to update will result in account suspension.,phishing
Your account has been suspended,Reactivate your account by logging in through this link.,phishing
Claim your reward today!,Failure to update will result in account suspension.,phishing
Weekly newsletter - June Edition,Attached is the invoice for services rendered in May.,legit
Urgent: Update your password,Verify your account details to continue using our services.,phishing
Quarterly performance review,Join us for a fun team outing this Friday evening.,legit
Reset your password now,You have an unclaimed reward. Act now!,phishing
Invoice for May services,Welcome our new team members and join the onboarding session.,legit
Meeting rescheduled to 3 PM,Your quarterly review is scheduled for next week.,legit
Action required: Verify your identity,We noticed a suspicious login attempt. Confirm your identity.,phishing
Confirm your account information,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Invoice for May services,Your quarterly review is scheduled for next week.,legit
Suspicious login attempt detected,Verify your account details to continue using our services.,phishing
Reset your password now,Your account has been compromised. Update your password now.,phishing
Suspicious login attempt detected,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Reset your password now,Click the link below to verify your account immediately.,phishing
Weekly newsletter - June Edition,Here are the updates to the HR policy for your review.,legit
New employee onboarding,Welcome our new team members and join the onboarding session.,legit
Reset your password now,You have an unclaimed reward. Act now!,phishing
HR Policy Updates,Here are the updates to the HR policy for your review.,legit
HR Policy Updates,Check out our latest updates in the June newsletter.,legit
New employee onboarding,This is a reminder to submit your timesheet by EOD.,legit
Reset your password now,Verify your account details to continue using our services.,phishing
Confirm your account information,Failure to update will result in account suspension.,phishing
Suspicious login attempt detected,Failure to update will result in account suspension.,phishing
Final notice: Your invoice is due,Click the link below to verify your account immediately.,phishing
Reminder: Submit your timesheet,Let me know if 3 PM works for the meeting.,legit
Action required: Verify your identity,Provide your personal information to restore access.,phishing
Your account has been suspended,Failure to update will result in account suspension.,phishing
You've won a prize!,Reactivate your account by logging in through this link.,phishing
Workshop on Cybersecurity,Attached is the invoice for services rendered in May.,legit
Action required: Verify your identity,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Reset your password now,Click the link below to verify your account immediately.,phishing
Reset your password now,Provide your personal information to restore access.,phishing
You've won a prize!,Reset your credentials to avoid security issues.,phishing
Unusual activity found,Verify your account details to continue using our services.,phishing
Suspicious login attempt detected,Failure to update will result in account suspension.,phishing
Urgent: Update your password,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Your account has been suspended,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
